Year,Month,Sum_Produce,Type
2012,3,25151525.84,Actual Sales
2012,4,24406048.39,Actual Sales
2012,5,28249539.01,Actual Sales
2012,6,28691364.32,Actual Sales
2012,7,28535707.45,Actual Sales
2012,8,25793520.64,Actual Sales
2012,9,21915641.66,Actual Sales
2012,10,21203562.52,Actual Sales
2012,11,21736158.96,Actual Sales
2012,12,21962976.75,Actual Sales
2013,1,20322683.64,Actual Sales
2013,2,19829620.75,Actual Sales
2013,3,22717069.85,Actual Sales
2013,4,21625385.04,Actual Sales
2013,5,23000152.4,Actual Sales
2013,6,24755406.2,Actual Sales
2013,7,26803105.56,Actual Sales
2013,8,22600217.01,Actual Sales
2013,9,21401265.74,Actual Sales
2013,10,19296578.09,Actual Sales
2013,11,20489773.49,Actual Sales
2013,12,21715706.67,Actual Sales
2014,1,22544458.38,Actual Sales
2014,2,21262413.12,Actual Sales
2014,3,23247168.62,Actual Sales
2014,4,22541987.92,Actual Sales
2014,5,25943046.75,Actual Sales
2014,6,24782178.43,Actual Sales
2014,7,24263117.59,Actual Sales
2014,8,21879988.86,Actual Sales
2014,9,18407263.58,Actual Sales
2014,10,19497571.95,Actual Sales
2014,11,19444753.17,Actual Sales
2014,12,19240384.75,Actual Sales
2015,1,20088529.29,Actual Sales
2015,2,19772333.34,Actual Sales
2015,3,24608406.71,Actual Sales
2015,4,21559729.45,Actual Sales
2015,5,25792074.59,Actual Sales
2015,6,27212464.15,Actual Sales
2015,7,26338477.15,Actual Sales
2015,8,23130626.6,Actual Sales
2015,9,20774415.93,Actual Sales
2015,10,20359980.58,Actual Sales
2015,11,21936906.81,Actual Sales
2015,12,20462899.3,Actual Sales
Year,Month,Forecast_Integer,Forecasting Existing
2016,1,21829059,Forecasting Existing
2016,2,21146331,Forecasting Existing
2016,3,23735688,Forecasting Existing
2016,4,22409514,Forecasting Existing
2016,5,25621830,Forecasting Existing
2016,6,26307858,Forecasting Existing
2016,7,26705094,Forecasting Existing
2016,8,23440761,Forecasting Existing
2016,9,20640048,Forecasting Existing
2016,10,20086269,Forecasting Existing
2016,11,20858121,Forecasting Existing
2016,12,21255189,Forecasting Existing
2016,1,2493697,Forecasting New
2016,2,2405584,Forecasting New
2016,3,2879417,Forecasting New
2016,4,2720393,Forecasting New
2016,5,3089903,Forecasting New
2016,6,3139497,Forecasting New
2016,7,3155160,Forecasting New
2016,8,2807733,Forecasting New
2016,9,2482456,Forecasting New
2016,10,2420097,Forecasting New
2016,11,2510816,Forecasting New
2016,12,2480120,Forecasting New
,,,Forecasting New
